TimeMS,Acc
0.214,0.009390943922333927
0.215,0.009395042765289569
0.216,0.009398459616956236
0.217,0.00940256131074105
0.218,0.009405980538867102
0.219,0.009410085085463626
0.22,0.009413506691701651
0.221,0.00941761409309383
0.222,0.009421038079097605
0.223,0.009425148337270716
0.224,0.00942857470469515
0.225,0.009432687821635853
0.226,0.009436802498750233
0.227,0.009440232549816505
0.228,0.009444350088771538
0.229,0.009447782525476161
0.23,0.00945190292826203
0.231,0.009455337752264007
0.232,0.009459461020872315
0.233,0.009462898233831778
0.234,0.009467024370255487
0.235,0.00947046397383373
0.236,0.00947459298006719
0.237,0.00947803497592667
0.238,0.009482166853965619
0.239,0.00948561124376994
0.24,0.009489745995611504
0.241,0.009493192781025435
0.242,0.009497330408668127
0.243,0.009500779591357585
0.244,0.00950492009680131
